label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
W,0.7747887372970581,0.8106499314308167,2.409340424947004e-07,0.7387197613716125,0.7580492496490479,-0.02444654516875744,0.7205535173416138,0.6530397534370422,-0.028243301436305046,0.7609149813652039,0.5755749344825745,-0.028980234637856483,0.8042687177658081,0.5447704792022705,-0.030034545809030533,0.7076683640480042,0.5372976064682007,-0.008960992097854614,0.6808106303215027,0.4330759048461914,-0.015601543709635735,0.6682774424552917,0.3692454695701599,-0.023989353328943253,0.6563438773155212,0.3131076693534851,-0.032441653311252594,0.7460488677024841,0.5188009738922119,-0.011090525425970554,0.7378779053688049,0.39599040150642395,-0.012945691123604774,0.7335854768753052,0.3243575394153595,-0.022050198167562485,0.7285102605819702,0.26514697074890137,-0.030428413301706314,0.7807867527008057,0.5341953635215759,-0.017404265701770782,0.7914941310882568,0.4234659671783447,-0.031498268246650696,0.7908143997192383,0.351711630821228,-0.05160761624574661,0.7890726327896118,0.28486573696136475,-0.0671125277876854,0.8144117593765259,0.5762364268302917,-0.025577489286661148,0.819706380367279,0.5172613859176636,-0.045759979635477066,0.8090072870254517,0.5548977851867676,-0.051670778542757034,0.7990018129348755,0.5989136695861816,-0.05581292510032654
W,0.7750073075294495,0.8104590177536011,2.579449756012764e-07,0.7380107045173645,0.7556954026222229,-0.024688977748155594,0.7212994694709778,0.6535977721214294,-0.028933120891451836,0.761086106300354,0.576072633266449,-0.030206989496946335,0.8035113215446472,0.5455823540687561,-0.031631603837013245,0.7081179618835449,0.5372039675712585,-0.008564131334424019,0.6816233396530151,0.4320816397666931,-0.015635641291737556,0.6690456867218018,0.3677610456943512,-0.024442460387945175,0.6573988199234009,0.3113764524459839,-0.03301786258816719,0.7464017868041992,0.5190247297286987,-0.010806317441165447,0.7382374405860901,0.39598608016967773,-0.012925381772220135,0.7342953085899353,0.3242846429347992,-0.022535208612680435,0.7296220064163208,0.2645782232284546,-0.031128255650401115,0.7806206941604614,0.5350661277770996,-0.01725708693265915,0.7909114956855774,0.42446476221084595,-0.030976101756095886,0.790890634059906,0.35316166281700134,-0.050943925976753235,0.7896817922592163,0.28672656416893005,-0.06620519608259201,0.8135839104652405,0.5783593654632568,-0.025675980374217033,0.8197716474533081,0.5174345374107361,-0.04438561946153641,0.8102700114250183,0.5519160628318787,-0.04964492470026016,0.8011015057563782,0.5938979983329773,-0.053403645753860474
W,0.7743947505950928,0.8102338314056396,2.414163873254438e-07,0.7367005944252014,0.7568050026893616,-0.02500329166650772,0.7193087935447693,0.6546083688735962,-0.02877166122198105,0.7597301006317139,0.5771863460540771,-0.029137680307030678,0.8026717901229858,0.5462566614151001,-0.029548870399594307,0.7077069878578186,0.5379759073257446,-0.00930687878280878,0.6801745295524597,0.43261781334877014,-0.01690003089606762,0.6669962406158447,0.3689079284667969,-0.025930989533662796,0.655095100402832,0.3119036555290222,-0.034510958939790726,0.7462350726127625,0.5206815600395203,-0.011482320725917816,0.7374909520149231,0.3967894911766052,-0.014799763448536396,0.7326853275299072,0.325069397687912,-0.024893736466765404,0.7270975112915039,0.2644214630126953,-0.03354208543896675,0.7802545428276062,0.5362433195114136,-0.01792087033390999,0.7894745469093323,0.42438966035842896,-0.03334197402000427,0.7879405617713928,0.3527182340621948,-0.05386652797460556,0.7846852540969849,0.2845015525817871,-0.06893622875213623,0.8132800459861755,0.5800527930259705,-0.026187371462583542,0.8167384266853333,0.5164552927017212,-0.04529506713151932,0.8071650266647339,0.5544704794883728,-0.049734245985746384,0.7984492778778076,0.6011795997619629,-0.05272254720330238
W,0.7738907337188721,0.8070083856582642,2.662640667949745e-07,0.7370570302009583,0.7513549327850342,-0.023768804967403412,0.7204002737998962,0.6499658226966858,-0.027588140219449997,0.7592706084251404,0.5727325081825256,-0.02850753255188465,0.8009670376777649,0.5411624312400818,-0.029803570359945297,0.7079410552978516,0.5364372730255127,-0.008356305770576,0.6813335418701172,0.4295600652694702,-0.015389416366815567,0.6684987545013428,0.36443623900413513,-0.024101192131638527,0.6565077304840088,0.30754080414772034,-0.03260139375925064,0.7452907562255859,0.5190482139587402,-0.011115034110844135,0.7377393245697021,0.3931410312652588,-0.01344481110572815,0.733837902545929,0.3201507329940796,-0.023555278778076172,0.7292135953903198,0.2598600685596466,-0.032404858618974686,0.7788289785385132,0.5347504615783691,-0.01786802150309086,0.7894259095191956,0.42024803161621094,-0.03198029845952988,0.7885346412658691,0.34706974029541016,-0.05268117040395737,0.786537230014801,0.2797919511795044,-0.06845948845148087,0.8112956285476685,0.5778292417526245,-0.026385633274912834,0.8156953454017639,0.5194372534751892,-0.04600095376372337,0.8064769506454468,0.5559152960777283,-0.051511406898498535,0.7984060645103455,0.600114107131958,-0.05524452030658722
W,0.7745338678359985,0.7994718551635742,2.8323927381279645e-07,0.7363921403884888,0.7431274652481079,-0.025029808282852173,0.7192621231079102,0.637788712978363,-0.029581258073449135,0.7570129036903381,0.5569533705711365,-0.03132103011012077,0.7974051237106323,0.524148166179657,-0.03333991393446922,0.7070497274398804,0.528116762638092,-0.007293060887604952,0.679765522480011,0.42434161901474,-0.014272310771048069,0.6672128438949585,0.35932689905166626,-0.02304999902844429,0.6553567051887512,0.3025830090045929,-0.03169741854071617,0.7437223196029663,0.5113052129745483,-0.009116172790527344,0.7354475259780884,0.3888293504714966,-0.011902717873454094,0.7323455810546875,0.3166849613189697,-0.021925048902630806,0.7285938262939453,0.25827908515930176,-0.030594032257795334,0.7774270176887512,0.5266499519348145,-0.015193124301731586,0.7862884402275085,0.41663217544555664,-0.029684238135814667,0.7849005460739136,0.3426450192928314,-0.05007873475551605,0.7832731604576111,0.27604803442955017,-0.06560203433036804,0.8100946545600891,0.5660762786865234,-0.023220935836434364,0.812582790851593,0.5112423300743103,-0.04351497069001198,0.8027205467224121,0.5486204624176025,-0.049556344747543335,0.7952359318733215,0.5918031334877014,-0.05360352247953415
W,0.7791882753372192,0.7763856649398804,3.2695911045266257e-07,0.7398865818977356,0.7100284099578857,-0.02275383099913597,0.7256451845169067,0.602098822593689,-0.02468828484416008,0.7657248973846436,0.5255879759788513,-0.02478027157485485,0.8094238638877869,0.5100069046020508,-0.024747537449002266,0.7143231630325317,0.4997148811817169,0.0018928621429949999,0.6881512999534607,0.3993866443634033,-0.0020381028298288584,0.6758323311805725,0.33664005994796753,-0.009036158211529255,0.6652553677558899,0.2832690179347992,-0.01633770763874054,0.7500033974647522,0.4851350486278534,0.0008918600506149232,0.7407501935958862,0.37088319659233093,0.0014726867666468024,0.7370322942733765,0.3020029067993164,-0.006849340163171291,0.7340955138206482,0.2476283311843872,-0.014239196665585041,0.7843413352966309,0.5028276443481445,-0.004720866214483976,0.7905335426330566,0.39907628297805786,-0.014590100385248661,0.7885895371437073,0.3272320032119751,-0.034068137407302856,0.787267804145813,0.26380035281181335,-0.04893689602613449,0.816725492477417,0.5441755652427673,-0.012599581852555275,0.8210958242416382,0.48957395553588867,-0.02723545953631401,0.8116305470466614,0.5166465640068054,-0.03311319276690483,0.804038941860199,0.5503342151641846,-0.037569064646959305
W,0.7824662923812866,0.7613020539283752,2.9156618097658793e-07,0.7459061741828918,0.7008141875267029,-0.02180778793990612,0.7317127585411072,0.6006390452384949,-0.02470310777425766,0.7728518843650818,0.5275478959083557,-0.025401616469025612,0.8143981695175171,0.49841737747192383,-0.02628277614712715,0.7198163270950317,0.4957132637500763,-0.004597711376845837,0.6964035034179688,0.39263492822647095,-0.009857735596597195,0.6851788759231567,0.3298603296279907,-0.017514487728476524,0.6749826669692993,0.2753826379776001,-0.02535984478890896,0.7556915879249573,0.4802788496017456,-0.0066128140315413475,0.7496882677078247,0.36088860034942627,-0.00745921116322279,0.7478501796722412,0.291271448135376,-0.01675085909664631,0.7454780340194702,0.23371219635009766,-0.025276968255639076,0.788584291934967,0.4981231987476349,-0.01252875104546547,0.7982110977172852,0.3941747844219208,-0.023538120090961456,0.8003091812133789,0.32440853118896484,-0.04296984523534775,0.8008013367652893,0.2601684331893921,-0.05811259150505066,0.8198797106742859,0.5413965582847595,-0.02026800811290741,0.8268783092498779,0.4836757183074951,-0.03550859913229942,0.8179386258125305,0.5065757036209106,-0.04097016528248787,0.8088401556015015,0.536716878414154,-0.04542968049645424
W,0.77854984998703,0.7625517845153809,2.5204897724506736e-07,0.7434741258621216,0.7090040445327759,-0.02345840074121952,0.726645290851593,0.6035565137863159,-0.026656320318579674,0.766526997089386,0.5275340676307678,-0.027286497876048088,0.8086392879486084,0.5033328533172607,-0.028478797525167465,0.7154160141944885,0.4988226890563965,-0.006499359384179115,0.6909545660018921,0.3995504081249237,-0.013543080538511276,0.6792211532592773,0.33827704191207886,-0.02204982563853264,0.6683602333068848,0.28468501567840576,-0.03031986393034458,0.7517786622047424,0.4841967523097992,-0.008180537261068821,0.7450292706489563,0.367476224899292,-0.012091928161680698,0.7413807511329651,0.29684925079345703,-0.021771010011434555,0.7379401922225952,0.2379818558692932,-0.029682543128728867,0.7854284644126892,0.49978238344192505,-0.013964827172458172,0.7945671677589417,0.3927237093448639,-0.029315676540136337,0.7935624122619629,0.32536518573760986,-0.04814772307872772,0.7931241989135742,0.26232361793518066,-0.06167950481176376,0.8173975348472595,0.5386711359024048,-0.021586015820503235,0.8202712535858154,0.48172274231910706,-0.04198194667696953,0.8112597465515137,0.5189142227172852,-0.04766380786895752,0.8055709600448608,0.5598709583282471,-0.051002927124500275
W,0.7876968383789062,0.7547406554222107,3.342343006806914e-07,0.7495126724243164,0.6898546814918518,-0.02202885039150715,0.7356287837028503,0.587688148021698,-0.024513553828001022,0.7763041853904724,0.5127664804458618,-0.024990275502204895,0.8179450035095215,0.4899549186229706,-0.025493016466498375,0.7230106592178345,0.48902037739753723,-0.0018868495244532824,0.7003788948059082,0.3857319951057434,-0.006293152924627066,0.689310610294342,0.3227912187576294,-0.01313808560371399,0.6794612407684326,0.270652174949646,-0.020218677818775177,0.759032666683197,0.4742157459259033,-0.002641443395987153,0.7531730532646179,0.35671669244766235,-0.003059257287532091,0.7507084608078003,0.28657394647598267,-0.012032821774482727,0.7484028935432434,0.2318793535232544,-0.01977016031742096,0.7925532460212708,0.49277743697166443,-0.00735574821010232,0.8010775446891785,0.38936030864715576,-0.017477376386523247,0.8026489615440369,0.3181479573249817,-0.03683590143918991,0.8036423325538635,0.25648000836372375,-0.05146131291985512,0.8233932256698608,0.5356571674346924,-0.01400140579789877,0.8324267864227295,0.4809889793395996,-0.029107531532645226,0.8260146379470825,0.49619343876838684,-0.03591828793287277,0.8192426562309265,0.518585205078125,-0.040756747126579285
W,0.7891071438789368,0.7528809905052185,2.927884850123519e-07,0.7539332509040833,0.6948978304862976,-0.022772107273340225,0.7395675182342529,0.5986106991767883,-0.027158524841070175,0.7787541747093201,0.5255427360534668,-0.029064493253827095,0.8189893364906311,0.5002478957176208,-0.031072337180376053,0.7254210114479065,0.495078980922699,-0.008355031721293926,0.7027003169059753,0.38902267813682556,-0.015720101073384285,0.6924112439155579,0.3252366781234741,-0.02454502508044243,0.683008074760437,0.2716591954231262,-0.032946668565273285,0.7620296478271484,0.4797723591327667,-0.010441308841109276,0.7582107186317444,0.35878828167915344,-0.01392115093767643,0.7565222978591919,0.2893940210342407,-0.02483346313238144,0.7539154291152954,0.23202258348464966,-0.03406330570578575,0.7949182391166687,0.49629777669906616,-0.016257507726550102,0.805463433265686,0.3919007182121277,-0.02897394262254238,0.8078452348709106,0.3213052749633789,-0.0488472618162632,0.8087899684906006,0.2570726275444031,-0.06390604376792908,0.8261778354644775,0.5387726426124573,-0.023874063044786453,0.8349623084068298,0.48169103264808655,-0.03991018235683441,0.8270879983901978,0.5026441216468811,-0.04564981535077095,0.8192979097366333,0.5319685935974121,-0.05002295970916748
